time,wx (rad/s),wy (rad/s),wz (rad/s)
8.412,7.08,1.70,-3.84
8.413,7.19,1.70,-3.98
8.417,7.26,1.72,-4.13
8.417,7.30,1.74,-4.27
8.420,7.31,1.76,-4.42
8.424,7.29,1.78,-4.57
8.424,7.25,1.80,-4.70
8.433,7.20,1.81,-4.84
8.433,7.13,1.82,-4.97
8.434,7.05,1.83,-5.10
8.434,6.97,1.84,-5.22
8.434,6.88,1.84,-5.35
8.436,6.80,1.83,-5.47
8.441,6.71,1.81,-5.59
8.442,6.62,1.78,-5.71
8.442,6.55,1.75,-5.84
8.443,6.47,1.69,-5.96
8.446,6.40,1.62,-6.09
8.447,6.34,1.55,-6.22
8.449,6.29,1.47,-6.35
8.451,6.24,1.38,-6.49
8.454,6.21,1.28,-6.62
8.456,6.18,1.17,-6.76
8.459,6.16,1.06,-6.90
8.459,6.15,0.94,-7.05
8.462,6.14,0.82,-7.19
8.464,6.15,0.68,-7.34
8.465,6.16,0.56,-7.48
8.468,6.18,0.42,-7.64
8.469,6.21,0.30,-7.78
8.473,6.24,0.17,-7.93
8.473,6.29,0.04,-8.08
8.476,6.33,-0.08,-8.21
8.478,6.39,-0.20,-8.35
8.481,6.44,-0.30,-8.50
8.481,6.50,-0.41,-8.63
8.484,6.57,-0.52,-8.76
8.486,6.62,-0.63,-8.89
8.488,6.67,-0.72,-9.01
8.490,6.73,-0.81,-9.13
8.492,6.77,-0.89,-9.24
8.494,6.80,-0.98,-9.35
8.496,6.84,-1.07,-9.45
8.497,6.86,-1.15,-9.55
8.500,6.87,-1.24,-9.65
8.501,6.88,-1.34,-9.74
8.504,6.88,-1.43,-9.83
8.507,6.86,-1.53,-9.91
8.509,6.85,-1.62,-9.99
8.509,6.83,-1.72,-10.06
8.512,6.81,-1.82,-10.13
8.514,6.78,-1.92,-10.20
8.516,6.74,-2.01,-10.27
8.518,6.70,-2.10,-10.32
8.520,6.66,-2.19,-10.38
8.523,6.61,-2.28,-10.42
8.525,6.56,-2.36,-10.47
8.525,6.50,-2.44,-10.50
8.528,6.43,-2.52,-10.54
8.530,6.35,-2.60,-10.58
8.532,6.26,-2.67,-10.60
8.533,6.17,-2.74,-10.63
8.537,6.08,-2.81,-10.66
8.541,5.98,-2.88,-10.68
8.542,5.88,-2.93,-10.69
8.542,5.77,-2.99,-10.70
8.552,5.67,-3.04,-10.71
8.552,5.56,-3.08,-10.73
8.552,5.45,-3.11,-10.73
8.552,5.33,-3.14,-10.74
8.552,5.21,-3.16,-10.75
8.554,5.10,-3.19,-10.75
8.559,4.97,-3.21,-10.75
8.560,4.85,-3.24,-10.74
8.560,4.72,-3.28,-10.74
8.562,4.60,-3.31,-10.73
8.564,4.47,-3.36,-10.72
8.566,4.33,-3.39,-10.71
8.567,4.20,-3.43,-10.69
8.570,4.06,-3.46,-10.69
8.572,3.92,-3.49,-10.68
8.575,3.77,-3.52,-10.66
8.576,3.63,-3.54,-10.64
8.578,3.48,-3.57,-10.63
8.580,3.32,-3.59,-10.60
8.582,3.17,-3.62,-10.58
8.584,3.02,-3.64,-10.55
8.587,2.87,-3.65,-10.51
8.589,2.72,-3.68,-10.48
8.591,2.57,-3.68,-10.44
8.592,2.43,-3.71,-10.41
8.594,2.28,-3.73,-10.37
8.597,2.14,-3.75,-10.35
8.598,2.00,-3.78,-10.33
8.601,1.86,-3.82,-10.31
8.602,1.73,-3.86,-10.30
8.606,1.60,-3.90,-10.29
8.607,1.47,-3.94,-10.29
8.608,1.35,-3.97,-10.30
8.610,1.23,-4.00,-10.33
8.612,1.12,-4.03,-10.36
8.615,1.00,-4.05,-10.39
8.616,0.90,-4.07,-10.43
8.619,0.80,-4.11,-10.48
8.620,0.70,-4.15,-10.52
8.624,0.60,-4.19,-10.57
8.625,0.51,-4.23,-10.63
8.626,0.43,-4.27,-10.69
8.629,0.35,-4.30,-10.74
8.630,0.27,-4.33,-10.80
8.633,0.20,-4.35,-10.85
8.634,0.13,-4.36,-10.90
8.637,0.07,-4.37,-10.94
8.640,0.02,-4.38,-10.97
8.641,-0.04,-4.38,-10.99
8.642,-0.10,-4.37,-11.01
8.645,-0.15,-4.36,-11.01
8.646,-0.21,-4.35,-11.01
8.648,-0.26,-4.33,-11.01
8.650,-0.31,-4.31,-10.99
8.653,-0.36,-4.29,-10.97
8.658,-0.40,-4.26,-10.94
8.659,-0.44,-4.22,-10.90
8.659,-0.47,-4.19,-10.85
8.661,-0.50,-4.15,-10.80
8.669,-0.53,-4.10,-10.73
8.669,-0.55,-4.06,-10.66
8.669,-0.57,-4.02,-10.58
8.670,-0.59,-4.00,-10.50
8.670,-0.61,-3.98,-10.42
8.675,-0.63,-3.98,-10.33
8.676,-0.64,-3.99,-10.23
8.677,-0.65,-4.01,-10.12
8.678,-0.66,-4.03,-10.02
8.681,-0.66,-4.06,-9.91
8.682,-0.67,-4.08,-9.80
8.684,-0.69,-4.09,-9.68
8.686,-0.71,-4.11,-9.56
8.688,-0.73,-4.11,-9.44
8.691,-0.77,-4.11,-9.31
8.693,-0.81,-4.09,-9.17
8.694,-0.87,-4.07,-9.04
8.697,-0.93,-4.04,-8.89
8.698,-1.01,-4.00,-8.76
8.701,-1.10,-3.94,-8.61
8.703,-1.20,-3.90,-8.47
8.705,-1.30,-3.83,-8.34
8.709,-1.43,-3.77,-8.20
8.709,-1.55,-3.69,-8.08
8.711,-1.69,-3.61,-7.98
8.713,-1.82,-3.52,-7.88
8.715,-1.97,-3.43,-7.80
8.716,-2.12,-3.35,-7.72
8.719,-2.26,-3.27,-7.66
8.720,-2.39,-3.20,-7.60
8.723,-2.52,-3.14,-7.55
8.725,-2.64,-3.08,-7.51
8.726,-2.76,-3.01,-7.46
8.730,-2.86,-2.95,-7.41
8.731,-2.95,-2.88,-7.37
8.733,-3.03,-2.82,-7.31
8.734,-3.10,-2.76,-7.26
8.737,-3.17,-2.70,-7.21
8.739,-3.23,-2.64,-7.16
8.741,-3.28,-2.59,-7.10
8.742,-3.32,-2.54,-7.04
8.745,-3.36,-2.50,-6.97
8.746,-3.39,-2.46,-6.90
8.749,-3.42,-2.44,-6.83
8.750,-3.44,-2.42,-6.75
8.753,-3.44,-2.41,-6.67
8.757,-3.43,-2.41,-6.59
8.757,-3.42,-2.41,-6.52
8.759,-3.39,-2.41,-6.44
8.764,-3.36,-2.42,-6.35
8.765,-3.32,-2.42,-6.27
8.765,-3.26,-2.42,-6.18
8.767,-3.20,-2.42,-6.09
8.769,-3.14,-2.42,-5.99
8.770,-3.07,-2.42,-5.88
8.776,-3.00,-2.41,-5.78
8.784,-2.93,-2.38,-5.67
8.784,-2.87,-2.35,-5.57
8.784,-2.80,-2.31,-5.46
8.784,-2.75,-2.26,-5.36
8.784,-2.71,-2.20,-5.25
8.785,-2.67,-2.14,-5.15
8.787,-2.65,-2.07,-5.05
8.795,-2.64,-1.99,-4.95
8.796,-2.64,-1.91,-4.85
8.796,-2.65,-1.81,-4.76
8.796,-2.67,-1.70,-4.66
8.797,-2.70,-1.59,-4.57
8.799,-2.74,-1.48,-4.47
8.801,-2.78,-1.36,-4.38
8.803,-2.84,-1.25,-4.30
8.806,-2.90,-1.14,-4.21
8.807,-2.98,-1.02,-4.13
8.810,-3.07,-0.92,-4.05
8.810,-3.16,-0.81,-3.97
8.814,-3.26,-0.71,-3.90
8.815,-3.36,-0.61,-3.82
8.817,-3.46,-0.52,-3.75
8.818,-3.55,-0.44,-3.66
8.821,-3.62,-0.37,-3.59
8.823,-3.68,-0.31,-3.49
8.826,-3.73,-0.25,-3.40
8.827,-3.74,-0.19,-3.30
8.829,-3.74,-0.15,-3.20
8.831,-3.71,-0.12,-3.10
8.834,-3.66,-0.10,-3.00
8.835,-3.59,-0.10,-2.89
8.838,-3.48,-0.12,-2.79
8.840,-3.35,-0.14,-2.68
8.841,-3.19,-0.18,-2.57
8.843,-3.00,-0.22,-2.46
8.845,-2.79,-0.26,-2.35
8.848,-2.54,-0.31,-2.22
8.849,-2.27,-0.34,-2.09
8.852,-1.99,-0.36,-1.94
8.854,-1.69,-0.36,-1.76
8.857,-1.38,-0.33,-1.56
8.857,-1.07,-0.28,-1.33
8.860,-0.75,-0.21,-1.08
8.861,-0.43,-0.11,-0.79
8.864,-0.12,0.02,-0.49
8.866,0.20,0.17,-0.17
8.867,0.52,0.34,0.18
8.869,0.83,0.54,0.53
8.872,1.13,0.77,0.89
8.874,1.42,1.01,1.26
8.876,1.70,1.26,1.64
8.878,1.95,1.52,2.01
8.879,2.16,1.78,2.40
8.881,2.36,2.04,2.78
8.884,2.53,2.29,3.18
8.885,2.66,2.55,3.57
8.888,2.78,2.80,3.96
8.893,2.87,3.05,4.36
8.903,2.94,3.28,4.76
8.903,2.98,3.52,5.15
8.904,3.01,3.74,5.54
8.904,3.02,3.96,5.91
8.904,3.00,4.18,6.28
8.904,2.98,4.39,6.64
8.904,2.93,4.59,7.00
8.906,2.89,4.77,7.35
8.910,2.83,4.93,7.69
8.911,2.77,5.08,8.03
8.911,2.70,5.22,8.36
8.914,2.62,5.35,8.70
8.916,2.55,5.47,9.03
8.917,2.46,5.57,9.35
8.920,2.36,5.67,9.68
8.921,2.26,5.74,9.99
8.924,2.14,5.80,10.31
8.925,2.02,5.84,10.61
8.928,1.89,5.87,10.91
8.929,1.75,5.89,11.21
8.933,1.60,5.88,11.50
8.934,1.45,5.87,11.77
8.936,1.29,5.85,12.05
8.938,1.12,5.83,12.32
8.941,0.95,5.80,12.58
8.942,0.76,5.77,12.84
8.944,0.58,5.74,13.11
8.945,0.39,5.72,13.36
8.949,0.19,5.71,13.62
8.949,-0.01,5.70,13.87
8.951,-0.22,5.72,14.12
8.954,-0.44,5.74,14.36
8.955,-0.66,5.78,14.60
8.958,-0.91,5.82,14.83
8.959,-1.16,5.88,15.09
8.962,-1.41,5.96,15.32
8.964,-1.69,6.01,15.58
8.966,-1.97,6.04,15.85
8.968,-2.27,6.05,16.11
8.970,-2.57,6.07,16.34
8.971,-2.86,6.08,16.56
8.975,-3.15,6.10,16.76
8.976,-3.42,6.12,16.93
8.977,-3.69,6.13,17.09
8.980,-3.95,6.13,17.23
8.981,-4.21,6.13,17.34
8.984,-4.47,6.12,17.44
8.985,-4.73,6.09,17.54
8.989,-4.99,6.06,17.60
8.991,-5.25,6.00,17.68
8.993,-5.51,5.94,17.74
8.994,-5.77,5.87,17.82
8.996,-6.02,5.78,17.90
8.999,-6.26,5.70,17.99
9.000,-6.50,5.61,18.08
9.002,-6.74,5.54,18.17
9.004,-6.98,5.47,18.25
9.007,-7.22,5.42,18.32
9.009,-7.47,5.39,18.36
9.011,-7.74,5.40,18.38
9.012,-8.03,5.42,18.34
9.014,-8.35,5.46,18.26
9.016,-8.70,5.50,18.13
9.018,-9.08,5.54,17.95
9.021,-9.46,5.57,17.72
9.021,-9.91,5.59,17.45
9.027,-10.39,5.58,17.14
9.028,-10.88,5.54,16.80
9.028,-11.39,5.48,16.44
9.038,-11.91,5.40,16.07
9.039,-12.41,5.30,15.66
9.040,-12.91,5.20,15.23
9.040,-13.37,5.09,14.76
9.040,-13.81,4.97,14.29
9.040,-14.21,4.85,13.80
9.046,-14.54,4.71,13.30
9.047,-14.82,4.55,12.81
9.047,-15.05,4.38,12.33
9.048,-15.21,4.17,11.85
9.050,-15.31,3.92,11.37
9.053,-15.33,3.64,10.90
9.054,-15.28,3.32,10.43
9.057,-15.17,2.99,9.96
9.058,-14.98,2.62,9.50
9.061,-14.72,2.23,9.06
9.062,-14.41,1.83,8.62
9.065,-14.03,1.42,8.20
9.066,-13.59,0.99,7.81
9.068,-13.11,0.54,7.43
9.069,-12.58,0.09,7.09
9.073,-12.00,-0.37,6.77
9.075,-11.38,-0.85,6.49
9.077,-10.73,-1.35,6.24
9.078,-10.05,-1.86,6.01
9.081,-9.35,-2.39,5.79
9.082,-8.64,-2.93,5.60
9.085,-7.92,-3.48,5.41
9.086,-7.21,-4.04,5.24
9.089,-6.53,-4.59,5.08
9.092,-5.85,-5.14,4.92
9.093,-5.20,-5.66,4.77
9.094,-4.58,-6.14,4.62
9.096,-4.01,-6.58,4.47
9.098,-3.49,-6.95,4.34
9.101,-3.01,-7.26,4.22
9.102,-2.59,-7.51,4.10
9.105,-2.21,-7.72,4.01
9.106,-1.89,-7.87,3.93
9.109,-1.60,-7.98,3.85
9.111,-1.37,-8.05,3.78
9.112,-1.18,-8.07,3.72
9.115,-1.03,-8.06,3.66
9.116,-0.92,-8.01,3.61
9.119,-0.85,-7.92,3.56
9.120,-0.82,-7.81,3.53
9.123,-0.82,-7.69,3.49
9.125,-0.86,-7.55,3.48
9.128,-0.91,-7.39,3.47
9.128,-1.00,-7.24,3.46
9.130,-1.10,-7.08,3.46
9.133,-1.22,-6.92,3.48
9.135,-1.35,-6.76,3.49
9.136,-1.48,-6.60,3.51
9.139,-1.63,-6.44,3.55
9.140,-1.78,-6.29,3.60
9.143,-1.93,-6.13,3.65
9.145,-2.09,-5.97,3.73
9.146,-2.24,-5.80,3.80
9.149,-2.40,-5.63,3.89
9.151,-2.57,-5.46,3.97
9.152,-2.74,-5.28,4.06
9.155,-2.92,-5.10,4.14
9.157,-3.10,-4.91,4.23
9.161,-3.30,-4.71,4.30
9.161,-3.50,-4.51,4.37
9.170,-3.70,-4.30,4.43
9.170,-3.91,-4.08,4.49
9.171,-4.13,-3.85,4.53
9.171,-4.35,-3.63,4.55
9.171,-4.58,-3.39,4.56
9.172,-4.80,-3.16,4.57
9.177,-5.02,-2.91,4.56
9.178,-5.24,-2.67,4.55
9.179,-5.45,-2.45,4.54
9.181,-5.63,-2.22,4.51
9.182,-5.80,-2.01,4.48
9.185,-5.96,-1.81,4.45
9.187,-6.09,-1.64,4.40
9.188,-6.19,-1.47,4.34
9.191,-6.26,-1.33,4.28
9.192,-6.30,-1.20,4.21
9.194,-6.31,-1.10,4.14
9.196,-6.27,-1.01,4.07
9.199,-6.20,-0.95,3.99
9.201,-6.09,-0.89,3.93
9.203,-5.94,-0.87,3.86
9.206,-5.76,-0.86,3.79
9.206,-5.55,-0.88,3.74
9.210,-5.32,-0.92,3.68
9.211,-5.05,-0.98,3.62
9.213,-4.77,-1.08,3.58
9.215,-4.47,-1.21,3.53
9.216,-4.15,-1.38,3.48
9.220,-3.82,-1.59,3.44
9.221,-3.48,-1.83,3.40
9.222,-3.14,-2.09,3.35
9.226,-2.81,-2.36,3.31
9.227,-2.49,-2.63,3.27
9.228,-2.19,-2.89,3.22
9.231,-1.91,-3.13,3.17
9.233,-1.65,-3.35,3.13
9.235,-1.43,-3.55,3.08
9.237,-1.23,-3.74,3.04
9.238,-1.07,-3.90,3.00
9.242,-0.94,-4.04,2.96
9.243,-0.83,-4.14,2.93
9.246,-0.75,-4.23,2.90
9.247,-0.69,-4.29,2.87
9.249,-0.66,-4.32,2.84
9.251,-0.66,-4.33,2.82
9.252,-0.66,-4.31,2.79
9.256,-0.68,-4.27,2.76
9.257,-0.73,-4.20,2.72
9.260,-0.78,-4.09,2.68
9.261,-0.85,-3.96,2.62
9.263,-0.93,-3.81,2.55
9.265,-1.01,-3.64,2.48
9.268,-1.11,-3.45,2.37
9.269,-1.20,-3.25,2.27
9.271,-1.30,-3.03,2.13
9.273,-1.39,-2.78,1.98
9.275,-1.48,-2.51,1.82
9.277,-1.55,-2.23,1.64
9.279,-1.60,-1.93,1.44
9.281,-1.63,-1.63,1.23
9.284,-1.64,-1.32,1.01
9.285,-1.61,-1.02,0.77
9.287,-1.57,-0.72,0.52
9.289,-1.49,-0.44,0.26
9.295,-1.37,-0.16,-0.01
9.296,-1.23,0.09,-0.28
9.296,-1.05,0.31,-0.56
9.305,-0.83,0.50,-0.84
9.306,-0.57,0.67,-1.12
9.306,-0.27,0.80,-1.40
9.306,0.06,0.91,-1.67
9.306,0.42,0.99,-1.93
9.307,0.79,1.05,-2.19
9.314,1.18,1.08,-2.44
9.314,1.57,1.09,-2.68
9.314,1.95,1.08,-2.91
9.315,2.34,1.07,-3.14
9.318,2.70,1.05,-3.35
9.319,3.05,1.03,-3.54
9.321,3.38,1.01,-3.73
9.324,3.69,1.00,-3.92
9.326,3.98,1.01,-4.10
9.327,4.23,1.02,-4.28
9.330,4.46,1.05,-4.45
9.331,4.67,1.09,-4.63
9.334,4.85,1.14,-4.80
9.335,5.00,1.20,-4.97
9.337,5.13,1.26,-5.13
9.339,5.24,1.32,-5.28
9.341,5.34,1.39,-5.43
9.344,5.42,1.44,-5.57
9.345,5.49,1.49,-5.70
9.347,5.56,1.53,-5.83
9.350,5.61,1.56,-5.96
9.351,5.66,1.58,-6.08
9.353,5.69,1.58,-6.21
9.355,5.72,1.58,-6.32
9.358,5.75,1.56,-6.44
9.360,5.77,1.53,-6.55
9.362,5.79,1.48,-6.66
9.363,5.80,1.41,-6.77
9.366,5.81,1.34,-6.87
9.367,5.82,1.26,-6.97
9.370,5.82,1.17,-7.08
9.371,5.82,1.09,-7.18
9.373,5.82,1.00,-7.29
9.377,5.81,0.95,-7.39
9.378,5.80,0.89,-7.49
9.380,5.78,0.84,-7.59
9.381,5.76,0.80,-7.68
9.385,5.73,0.75,-7.78
9.385,5.70,0.70,-7.88
9.387,5.67,0.66,-7.96
9.390,5.63,0.64,-8.05
9.393,5.59,0.61,-8.13
9.394,5.56,0.58,-8.22
9.395,5.52,0.57,-8.31
9.398,5.48,0.56,-8.39
9.399,5.45,0.55,-8.49
9.402,5.42,0.56,-8.58
9.404,5.39,0.56,-8.67
9.406,5.38,0.56,-8.78
9.407,5.36,0.58,-8.88
9.410,5.35,0.60,-8.98
9.412,5.34,0.61,-9.09
9.413,5.34,0.61,-9.19
9.416,5.33,0.61,-9.29
9.417,5.33,0.60,-9.39
9.420,5.33,0.58,-9.47
9.421,5.33,0.56,-9.56
9.424,5.33,0.53,-9.64
9.429,5.32,0.50,-9.72
9.430,5.33,0.45,-9.80
9.430,5.33,0.41,-9.87
9.439,5.33,0.36,-9.94
9.440,5.33,0.31,-10.01
9.440,5.32,0.26,-10.08
9.440,5.31,0.21,-10.15
9.441,5.29,0.16,-10.21
9.448,5.28,0.10,-10.26
9.448,5.24,0.05,-10.32
9.448,5.20,-0.01,-10.37
9.448,5.15,-0.07,-10.41
9.450,5.09,-0.13,-10.46
9.452,5.02,-0.20,-10.50
9.453,4.95,-0.26,-10.53
9.455,4.86,-0.34,-10.56
9.457,4.77,-0.41,-10.58
9.460,4.67,-0.48,-10.60
9.462,4.57,-0.56,-10.61
9.464,4.46,-0.62,-10.62
9.466,4.36,-0.67,-10.62
9.467,4.24,-0.72,-10.62
9.471,4.14,-0.77,-10.62
9.471,4.02,-0.83,-10.63
9.475,3.91,-0.89,-10.62
9.477,3.80,-0.94,-10.62
9.478,3.70,-1.00,-10.62
9.480,3.60,-1.04,-10.62
9.482,3.51,-1.08,-10.61
9.485,3.42,-1.12,-10.60
9.485,3.33,-1.14,-10.60
9.487,3.24,-1.16,-10.59
9.491,3.15,-1.19,-10.57
9.492,3.06,-1.21,-10.56
9.494,2.96,-1.24,-10.54
9.495,2.87,-1.27,-10.53
9.498,2.78,-1.30,-10.50
9.500,2.69,-1.33,-10.48
9.502,2.60,-1.35,-10.46
9.505,2.51,-1.37,-10.43
9.506,2.42,-1.38,-10.41
9.507,2.32,-1.38,-10.38
9.511,2.24,-1.38,-10.35
9.512,2.13,-1.37,-10.31
9.515,2.04,-1.37,-10.28
9.515,1.93,-1.36,-10.25
9.519,1.82,-1.35,-10.22
9.519,1.71,-1.35,-10.17
9.522,1.60,-1.34,-10.14
9.524,1.48,-1.32,-10.08
9.527,1.37,-1.32,-10.04
9.529,1.24,-1.30,-9.98
9.530,1.12,-1.29,-9.92
9.532,1.00,-1.28,-9.85
9.534,0.88,-1.27,-9.78
9.537,0.76,-1.26,-9.70
9.538,0.64,-1.26,-9.62
9.540,0.53,-1.27,-9.55
9.541,0.42,-1.27,-9.47
9.546,0.31,-1.28,-9.39
9.547,0.22,-1.28,-9.32
9.553,0.13,-1.28,-9.23
9.554,0.05,-1.29,-9.14
9.554,-0.04,-1.29,-9.06
9.557,-0.11,-1.29,-8.97
9.557,-0.18,-1.29,-8.88
9.559,-0.24,-1.29,-8.79
9.565,-0.31,-1.29,-8.70
9.565,-0.37,-1.28,-8.62
9.565,-0.42,-1.27,-8.54
9.567,-0.48,-1.25,-8.47
9.568,-0.53,-1.22,-8.40
9.570,-0.59,-1.18,-8.34
9.572,-0.65,-1.14,-8.29
9.575,-0.71,-1.10,-8.24
9.577,-0.78,-1.05,-8.20
9.579,-0.86,-0.99,-8.17
9.580,-0.94,-0.93,-8.15
9.582,-1.03,-0.88,-8.13
9.584,-1.12,-0.82,-8.11
9.587,-1.20,-0.77,-8.09
9.588,-1.30,-0.72,-8.08
9.591,-1.39,-0.68,-8.08
9.594,-1.48,-0.64,-8.06
9.594,-1.56,-0.60,-8.06
9.596,-1.65,-0.56,-8.05
9.599,-1.73,-0.53,-8.04
9.600,-1.80,-0.51,-8.04
9.603,-1.88,-0.50,-8.02
9.604,-1.94,-0.48,-8.01
9.607,-1.99,-0.48,-8.00
9.608,-2.04,-0.47,-7.98
9.610,-2.08,-0.48,-7.97
9.612,-2.11,-0.48,-7.94
9.614,-2.13,-0.48,-7.92
9.616,-2.14,-0.48,-7.90
9.618,-2.15,-0.48,-7.87
9.620,-2.15,-0.48,-7.83
9.623,-2.13,-0.48,-7.79
9.624,-2.12,-0.47,-7.76
9.626,-2.10,-0.46,-7.72
9.629,-2.07,-0.46,-7.68
9.631,-2.03,-0.46,-7.63
9.632,-2.00,-0.47,-7.59
9.634,-1.97,-0.48,-7.55
9.637,-1.94,-0.51,-7.51
9.638,-1.89,-0.54,-7.47
9.641,-1.86,-0.59,-7.43
9.644,-1.82,-0.65,-7.39
9.645,-1.78,-0.71,-7.35
9.646,-1.74,-0.78,-7.31
9.649,-1.70,-0.85,-7.27
9.650,-1.65,-0.92,-7.24
9.653,-1.60,-0.99,-7.20
9.654,-1.55,-1.06,-7.16
9.657,-1.50,-1.11,-7.13
9.658,-1.44,-1.16,-7.09
9.677,-1.39,-1.21,-7.05
9.678,-1.34,-1.24,-7.02
9.678,-1.29,-1.28,-6.99
9.679,-1.25,-1.32,-6.95
9.679,-1.21,-1.36,-6.91
9.679,-1.17,-1.40,-6.88
9.679,-1.14,-1.44,-6.84
9.680,-1.12,-1.48,-6.80
9.680,-1.09,-1.52,-6.75
9.680,-1.08,-1.56,-6.71
9.680,-1.06,-1.61,-6.67
9.683,-1.05,-1.65,-6.61
9.684,-1.04,-1.68,-6.57
9.687,-1.03,-1.71,-6.51
9.688,-1.03,-1.73,-6.46
9.691,-1.03,-1.75,-6.40
9.694,-1.02,-1.77,-6.34
9.694,-1.03,-1.79,-6.27
9.697,-1.04,-1.81,-6.20
9.699,-1.05,-1.83,-6.13
9.700,-1.06,-1.85,-6.06
9.703,-1.07,-1.86,-5.98
9.704,-1.09,-1.87,-5.90
9.707,-1.11,-1.89,-5.82
9.708,-1.13,-1.89,-5.75
9.711,-1.16,-1.88,-5.66
9.713,-1.19,-1.88,-5.59
9.715,-1.22,-1.87,-5.51
9.718,-1.26,-1.85,-5.44
9.718,-1.29,-1.84,-5.36
9.721,-1.34,-1.83,-5.28
9.724,-1.38,-1.80,-5.21
9.724,-1.44,-1.75,-5.14
9.727,-1.49,-1.71,-5.07
9.730,-1.55,-1.64,-5.00
9.730,-1.62,-1.57,-4.94
9.733,-1.69,-1.49,-4.89
9.734,-1.78,-1.40,-4.83
9.738,-1.86,-1.31,-4.78
9.739,-1.95,-1.21,-4.72
9.742,-2.05,-1.10,-4.68
9.742,-2.16,-0.99,-4.62
9.747,-2.27,-0.88,-4.58
9.747,-2.38,-0.76,-4.54
9.748,-2.51,-0.65,-4.49
9.754,-2.63,-0.54,-4.45
9.754,-2.76,-0.42,-4.43
9.755,-2.88,-0.30,-4.40
9.757,-3.01,-0.20,-4.37
9.758,-3.12,-0.10,-4.35
9.766,-3.23,-0.02,-4.32
9.767,-3.33,0.05,-4.29
9.767,-3.43,0.10,-4.24
9.768,-3.52,0.14,-4.19
9.769,-3.60,0.16,-4.14
9.771,-3.67,0.18,-4.07
9.773,-3.72,0.19,-3.99
9.774,-3.77,0.18,-3.90
9.777,-3.80,0.17,-3.81
9.779,-3.82,0.14,-3.70
9.781,-3.83,0.12,-3.58
9.784,-3.83,0.09,-3.47
9.785,-3.81,0.07,-3.34
9.787,-3.78,0.05,-3.21
9.789,-3.73,0.03,-3.07
9.790,-3.68,0.03,-2.90
9.794,-3.61,0.04,-2.73
9.796,-3.52,0.06,-2.53
9.797,-3.41,0.11,-2.32
9.799,-3.28,0.17,-2.07
9.802,-3.12,0.24,-1.81
9.803,-2.94,0.32,-1.53
9.806,-2.73,0.41,-1.24
9.807,-2.50,0.49,-0.93
9.810,-2.25,0.58,-0.62
9.812,-1.98,0.67,-0.29
9.814,-1.69,0.77,0.05
9.815,-1.40,0.86,0.39
9.817,-1.09,0.95,0.74
9.820,-0.79,1.04,1.09
9.821,-0.48,1.12,1.45
9.824,-0.18,1.19,1.80
9.825,0.11,1.25,2.15
9.827,0.38,1.30,2.50
9.830,0.63,1.33,2.84
9.832,0.87,1.36,3.17
9.833,1.08,1.38,3.49
9.836,1.27,1.40,3.81
9.837,1.43,1.43,4.11
9.839,1.57,1.46,4.41
9.841,1.70,1.52,4.70
9.844,1.80,1.58,5.00
9.846,1.90,1.65,5.28
9.847,1.97,1.73,5.56
9.849,2.04,1.82,5.84
9.851,2.08,1.90,6.11
9.854,2.11,1.99,6.37
9.855,2.11,2.07,6.63
9.858,2.11,2.17,6.89
9.859,2.08,2.26,7.14
9.862,2.04,2.34,7.39
9.863,1.98,2.43,7.64
9.866,1.90,2.51,7.89
9.867,1.82,2.59,8.13
9.870,1.72,2.65,8.37
9.871,1.62,2.70,8.60
9.874,1.50,2.74,8.84
9.875,1.37,2.78,9.08
9.877,1.23,2.81,9.31
9.880,1.09,2.82,9.54
9.882,0.94,2.83,9.76
9.883,0.78,2.84,9.99
9.886,0.61,2.84,10.22
9.888,0.43,2.84,10.43
9.889,0.26,2.83,10.66
9.891,0.07,2.82,10.88
9.898,-0.12,2.80,11.10
9.898,-0.32,2.79,11.32
9.899,-0.51,2.77,11.54
9.900,-0.70,2.77,11.77
9.901,-0.90,2.75,11.99
9.903,-1.10,2.75,12.21
9.908,-1.31,2.76,12.44
9.909,-1.51,2.76,12.65
9.916,-1.72,2.78,12.87
9.917,-1.95,2.79,13.07
9.917,-2.17,2.81,13.27
9.917,-2.40,2.79,13.52
9.917,-2.64,2.75,13.75
9.920,-2.89,2.72,13.99
9.922,-3.15,2.67,14.21
9.924,-3.40,2.64,14.43
9.926,-3.64,2.62,14.64
9.927,-3.90,2.60,14.82
9.930,-4.14,2.59,15.02
9.932,-4.37,2.59,15.17
9.933,-4.61,2.60,15.29
9.935,-4.86,2.63,15.38
9.938,-5.09,2.65,15.44
9.939,-5.35,2.68,15.47
9.941,-5.61,2.71,15.48
9.945,-5.87,2.73,15.47
9.946,-6.13,2.74,15.43
9.948,-6.40,2.73,15.38
9.950,-6.68,2.71,15.32
9.952,-6.95,2.67,15.24
9.953,-7.21,2.63,15.16
9.956,-7.46,2.57,15.07
9.958,-7.70,2.51,14.97
9.960,-7.92,2.44,14.86
9.963,-8.13,2.37,14.75
9.964,-8.32,2.27,14.63
9.965,-8.49,2.16,14.52
9.969,-8.64,2.04,14.40
9.969,-8.77,1.88,14.28
9.972,-8.89,1.71,14.18
9.975,-8.99,1.51,14.09
9.975,-9.07,1.28,14.01
9.979,-9.14,1.03,13.94
9.980,-9.20,0.75,13.88
9.982,-9.26,0.47,13.85
9.984,-9.29,0.18,13.81
